Date,Description,Amount,Balance
01/15/2024,PAYROLL DEPOSIT - ACME CORP,3500.00,5234.56
01/16/2024,AMAZON.COM*MARKETPLACE,-127.89,5106.67
01/17/2024,STARBUCKS #2847 SAN FRANCISCO,-6.75,5099.92
01/18/2024,SHELL OIL 34589234,-45.20,5054.72
01/19/2024,WHOLE FOODS MKT #10234,-85.43,4969.29
01/20/2024,NETFLIX.COM SUBSCRIPTION,-15.99,4953.30
01/22/2024,UBER *TRIP HELP.UBER.COM,-23.45,4929.85
01/23/2024,TARGET T-2847 SAN FRANCISCO,-94.32,4835.53
01/25/2024,PG&E ELECTRIC BILL PAYMENT,-120.50,4715.03
01/27/2024,CHIPOTLE 2847 SAN FRANCISCO,-18.99,4696.04
01/28/2024,VENMO PAYMENT FROM JOHN DOE,50.00,4746.04
01/30/2024,LA FITNESS MONTHLY DUES,-49.99,4696.05
02/01/2024,PROPERTY MGMT - RENT PAYMENT,-1200.00,3496.05
02/02/2024,PAYROLL DEPOSIT - ACME CORP,3500.00,6996.05
02/03/2024,TRADER JOES #234 SAN FRANCISCO,-72.15,6923.90
02/05/2024,SPOTIFY USA SUBSCRIPTION,-9.99,6913.91
02/07/2024,CVS/PHARMACY #8234 SAN FRANCISCO,-34.56,6879.35
02/08/2024,FREELANCE PAYMENT - UPWORK,850.00,7729.35
02/10/2024,AMC THEATRES #2847,-28.00,7701.35
02/12/2024,HOME DEPOT #2847 SAN FRANCISCO,-156.78,7544.57
02/14/2024,ROMANTIC RESTAURANT SF,-145.00,7399.57
02/16/2024,CHEVRON 234589234,-52.30,7347.27
02/18/2024,UDEMY ONLINE COURSE,-199.00,7148.27
02/20/2024,CONSULTING PAYMENT - INVOICE #234,425.00,7573.27
02/22/2024,COMCAST INTERNET SERVICE,-79.99,7493.28
02/25/2024,COSTCO WHSE #234 SAN FRANCISCO,-234.67,7258.61
02/27/2024,AMAZON BOOKS PURCHASE,-45.99,7212.62
03/01/2024,PROPERTY MGMT - RENT PAYMENT,-1200.00,6012.62
03/02/2024,PAYROLL DEPOSIT - ACME CORP,3500.00,9512.62
03/04/2024,SAFEWAY #2847 SAN FRANCISCO,-89.23,9423.39
03/06/2024,GEICO AUTO INSURANCE,-145.00,9278.39
03/08/2024,DR SMITH DDS DENTAL CARE,-180.00,9098.39
